,index,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109,MFR MDL CODE,YEAR MFR,NAME,AircraftType,EngineType,AircraftAge,AircraftManufacturer,AircraftModel,S_Hour_departure,S_Hour_arrival,day_of_week,label
116,5222646,2019,4,12,2,1,2019-12-02,9E,20363,9E,N309PQ,5224,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,454,729.0,-5.0,0.0,0.0,-1.0,0700-0759,20.0,749.0,848.0,13.0,560,901.0,-19.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,106.0,92.0,59.0,1.0,340.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,7,9,0,1
124,5664372,2019,4,12,2,1,2019-12-02,9E,20363,9E,N931XJ,5431,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,479,1002.0,123.0,123.0,1.0,8.0,0700-0759,19.0,1021.0,1113.0,18.0,571,1131.0,120.0,120.0,1.0,8.0,0900-0959,0.0,,0.0,92.0,89.0,52.0,1.0,301.0,2,2.0,0.0,0.0,0.0,118.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,7,9,0,2
125,5352590,2019,4,12,2,1,2019-12-02,9E,20363,9E,N800AY,3470,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14576,1457606,34576,ROC,"Rochester, NY",NY,36,New York,22,479,759.0,0.0,0.0,0.0,0.0,0700-0759,22.0,821.0,907.0,5.0,574,912.0,-22.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,95.0,73.0,46.0,1.0,264.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2004,DELTA AIR LINES INC                               ,5,5.0,15,BOMBARDIER INC                ,CL-600-2B19         ,7,9,0,3
128,5506426,2019,4,12,2,1,2019-12-02,9E,20363,9E,N606LR,5266,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,485,802.0,-3.0,0.0,0.0,-1.0,0800-0859,23.0,825.0,937.0,5.0,595,942.0,-13.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,110.0,100.0,72.0,1.0,427.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,8,9,0,4
137,5663301,2019,4,12,2,1,2019-12-02,9E,20363,9E,N297PQ,5397,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11042,1104205,30647,CLE,"Cleveland, OH",OH,39,Ohio,44,491,811.0,0.0,0.0,0.0,0.0,0800-0859,24.0,835.0,946.0,7.0,613,953.0,-20.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,122.0,102.0,71.0,1.0,425.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2013,DELTA AIR LINES INC                               ,5,5.0,6,BOMBARDIER INC                ,CL-600-2D24         ,8,10,0,5
152,5217481,2019,4,12,2,1,2019-12-02,9E,20363,9E,N310PQ,3367,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,510,943.0,73.0,73.0,1.0,4.0,0800-0859,17.0,1000.0,1205.0,10.0,715,1215.0,20.0,20.0,1.0,1.0,1100-1159,0.0,,0.0,265.0,212.0,185.0,1.0,1391.0,6,0.0,0.0,0.0,0.0,20.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,8,11,0,6
157,5221000,2019,4,12,2,1,2019-12-02,9E,20363,9E,N304PQ,5171,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,515,852.0,17.0,17.0,1.0,1.0,0800-0859,14.0,906.0,948.0,6.0,602,954.0,-8.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,87.0,62.0,42.0,1.0,213.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,8,10,0,7
162,5666250,2019,4,12,2,1,2019-12-02,9E,20363,9E,N8928A,5023,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,520,852.0,12.0,12.0,0.0,0.0,0800-0859,23.0,915.0,956.0,8.0,601,1004.0,3.0,3.0,0.0,0.0,1000-1059,0.0,,0.0,81.0,72.0,41.0,1.0,184.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390008,2004,WELLS FARGO TRUST CO NA TRUSTEE                   ,5,5.0,15,BOMBARDIER INC                ,CL-600-2B19         ,8,10,0,8
175,5352606,2019,4,12,2,1,2019-12-02,9E,20363,9E,N320PQ,3474,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,535,1141.0,166.0,166.0,1.0,11.0,0800-0859,54.0,1235.0,1325.0,4.0,617,1329.0,192.0,192.0,1.0,12.0,1000-1059,0.0,,0.0,82.0,108.0,50.0,1.0,228.0,1,0.0,0.0,26.0,0.0,166.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2014,DELTA AIR LINES INC                               ,5,5.0,5,BOMBARDIER INC                ,CL-600-2D24         ,8,10,0,9
190,5352602,2019,4,12,2,1,2019-12-02,9E,20363,9E,N176PQ,3473,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,550,906.0,-4.0,0.0,0.0,-1.0,0900-0959,46.0,952.0,1043.0,12.0,630,1055.0,25.0,25.0,1.0,1.0,1000-1059,0.0,,0.0,80.0,109.0,51.0,1.0,187.0,1,0.0,0.0,25.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390016,2008,DELTA AIR LINES INC                               ,5,5.0,11,BOMBARDIER INC                ,CL-600-2D24         ,9,10,0,10
